CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Município e Leitos complementares
Período:Fev/2020
"Município";"Unidade intermediária neonatal";"Unidade isolamento";"UTI adulto I";"UTI adulto II";"UTI adulto III";"UTI pediátrica I";"UTI pediátrica II";"UTI pediátrica III";"UTI neonatal I";"UTI neonatal II";"UTI neonatal III";"UTI de Queimados";"UTI coronariana tipo II -UCO tipo II";"UTI coronariana tipo III - UCO tipo III";"Unidade de cuidados intermed neonatal convencional";"Unidade de cuidados intermed neonatal canguru";"Unidade de cuidados intermed pediatrico";"Unidade de cuidados intermed adulto";"Total"
"150040 Alenquer";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;3;9
"150060 Altamira";-;6;-;10;-;-;5;-;-;5;-;-;-;-;14;-;-;-;40
"150070 Anajás";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150080 Ananindeua";-;13;-;66;-;-;15;-;-;10;-;2;-;-;10;-;-;-;116
"150085 Anapu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150110 Bagre";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150120 Baião";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150125 Bannach";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150130 Barcarena";-;1;-;10;-;-;-;-;-;10;-;-;-;-;10;-;-;-;31
"150140 Belém";10;71;101;215;26;10;45;18;15;84;26;-;10;10;109;16;-;8;774
"150145 Belterra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150170 Bragança";-;3;-;10;-;-;10;-;-;10;-;-;-;-;20;-;-;-;53
"150175 Brejo Grande do Araguaia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150178 Breu Branco";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150180 Breves";-;3;-;7;-;-;5;-;-;5;-;-;-;-;-;-;-;-;20
"150210 Cametá";3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150215 Canaã dos Carajás";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150220 Capanema";-;4;-;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23
"150230 Capitão Poço";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150240 Castanhal";-;2;-;20;-;-;-;-;-;-;-;-;-;-;15;-;-;-;37
"150270 Conceição do Araguaia";-;4;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;14
"150280 Curralinho";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150290 Curuçá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150293 Dom Eliseu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150310 Gurupá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150320 Igarapé-Açu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150340 Inhangapi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150345 Ipixuna do Pará";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150360 Itaituba";-;7;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;17
"150380 Jacundá";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"150400 Limoeiro do Ajuru";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150405 Mãe do Rio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150420 Marabá";-;10;-;20;-;-;9;-;-;9;-;-;-;-;6;-;-;-;54
"150430 Maracanã";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150440 Marapanim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150442 Marituba";-;5;-;7;-;-;-;-;-;-;-;-;-;-;8;-;-;-;20
"150450 Melgaço";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150460 Mocajuba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150470 Moju";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150480 Monte Alegre";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150503 Novo Progresso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150506 Novo Repartimento";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150510 Óbidos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150520 Oeiras do Pará";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150543 Ourilândia do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150548 Pacajá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150549 Palestina do Pará";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150550 Paragominas";-;5;-;20;-;-;-;-;-;-;-;-;-;-;10;-;-;-;35
"150553 Parauapebas";-;10;-;10;10;-;-;-;-;-;-;-;-;-;12;-;-;2;44
"150565 Placas";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150580 Portel";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150590 Porto de Moz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150613 Redenção";1;7;11;9;-;-;5;-;-;5;-;-;-;-;3;-;-;3;44
"150616 Rio Maria";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150618 Rondon do Pará";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150619 Rurópolis";-;2;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;5
"150620 Salinópolis";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150630 Salvaterra";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150680 Santarém";-;4;-;27;-;-;10;-;-;19;-;-;-;-;10;6;-;10;86
"150700 Santo Antônio do Tauá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150720 São Domingos do Capim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150730 São Félix do Xingu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150747 São João de Pirabas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150750 São João do Araguaia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150760 São Miguel do Guamá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150780 Senador José Porfírio";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150790 Soure";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150795 Tailândia";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;6;11
"150800 Tomé-Açu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150803 Tracuateua";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"150810 Tucuruí";-;4;4;7;-;1;6;-;2;10;-;-;-;-;12;-;-;4;50
"150812 Ulianópolis";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"150830 Viseu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"150835 Vitória do Xingu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"160020 Calçoene";-;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5
"160027 Laranjal do Jari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1
"160030 Macapá";-;17;20;20;-;-;10;-;3;34;-;-;-;-;32;7;5;4;152
"160060 Santana";-;-;6;-;-;-;-;-;6;-;-;-;-;-;-;-;-;-;12
"170200 Araguaçu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170210 Araguaína";-;-;-;29;-;-;11;-;-;20;-;6;-;-;21;5;-;2;94
"170230 Arapoema";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"170240 Arraias";-;1;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;5
"170255 Augustinópolis";9;2;-;-;-;-;-;-;-;-;-;-;-;-;9;-;-;2;22
"170930 Guaraí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;-;4
"170950 Gurupi";-;3;3;18;-;-;2;-;-;-;-;-;-;-;4;2;-;-;32
"171050 Itacajá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171320 Miracema do Tocantins";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"172100 Palmas";-;9;18;36;21;-;18;9;-;38;10;6;1;-;20;6;-;-;192
"171610 Paraíso do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;-;-;3;-;-;3;7
"171620 Paranã";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171650 Pedro Afonso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"171660 Peixe";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"172090 Taguatinga";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210005 Açailândia";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"210043 Alto Alegre do Maranhão";-;2;-;-;-;-;-;-;-;-;-;-;-;-;8;-;-;6;16
"210047 Alto Alegre do Pindaré";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"210083 Apicum-Açu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210090 Araioses";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"210100 Arari";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"210120 Bacabal";-;4;-;10;-;-;-;-;-;-;-;-;-;-;15;-;8;-;37
"210140 Balsas";-;1;-;10;-;-;-;-;-;-;-;-;-;-;6;4;-;-;21
"210160 Barra do Corda";4;5;-;-;-;-;-;-;-;-;-;-;-;-;6;-;-;2;17
"210170 Barreirinhas";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;8
"210177 Bela Vista do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210197 Boa Vista do Gurupi";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210232 Buriticupu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;6;2;-;-;10
"210280 Carolina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210290 Carutapera";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210300 Caxias";5;7;-;20;-;-;6;-;-;11;-;-;-;-;-;5;-;3;57
"210320 Chapadinha";-;4;-;10;-;-;-;-;-;-;-;-;-;-;3;-;-;-;17
"210330 Codó";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"210340 Coelho Neto";-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;5
"210360 Coroatá";-;2;-;10;-;-;10;-;-;10;-;-;-;-;-;-;-;-;32
"210375 Davinópolis";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210405 Estreito";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"210410 Fortaleza dos Nogueiras";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210480 Grajaú";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;8
"210530 Imperatriz";-;12;-;104;-;-;19;-;-;55;-;-;-;-;17;6;-;-;213
"210540 Itapecuru Mirim";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"210550 João Lisboa";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"210565 Junco do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210610 Loreto";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"210630 Magalhães de Almeida";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210690 Monção";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;8
"210700 Montes Altos";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"210710 Morros";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210730 Nova Iorque";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210735 Nova Olinda do Maranhão";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"210760 Palmeirândia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210805 Paulino Neves";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210845 Peritoró";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;8
"210850 Pindaré-Mirim";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210860 Pinheiro";4;5;-;10;-;-;-;-;-;-;-;-;-;-;6;-;-;-;25
"210880 Pirapemas";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210900 Porto Franco";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"210910 Presidente Dutra";-;1;-;11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;12
"210927 Presidente Sarney";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210940 Primeira Cruz";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"210980 Santa Helena";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"210990 Santa Inês";-;4;-;10;-;-;-;-;-;-;-;-;-;-;10;-;-;-;24
"211000 Santa Luzia";-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"211003 Santa Luzia do Paruá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"211010 Santa Quitéria do Maranhão";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"211023 Santana do Maranhão";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"211050 São Bento";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"211060 São Bernardo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"211105 São João do Paraíso";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"211120 São José de Ribamar";-;4;-;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;24
"211130 São Luís";-;18;113;219;25;-;19;30;9;91;-;-;-;-;57;22;-;15;618
"211210 Timbiras";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;8
"211220 Timon";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"211230 Tuntum";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"211250 Tutóia";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"211400 Zé Doca";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"220020 Água Branca";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"220030 Alto Longá";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"220040 Altos";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"220120 Barras";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;11
"220390 Floriano";-;-;-;10;-;-;-;-;-;10;-;-;-;-;-;-;-;-;20
"220430 Fronteiras";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"220620 Miguel Alves";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"220700 Oeiras";-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10
"220770 Parnaíba";-;2;11;32;-;-;-;-;-;10;-;-;-;-;20;4;-;-;79
"220780 Paulistana";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"220790 Pedro II";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"220800 Picos";10;5;-;-;5;15;-;7;13;-;10;-;-;-;2;2;2;2;73
"220840 Piripiri";-;2;-;10;-;-;-;-;-;-;-;-;-;-;10;-;3;-;25
"221000 São João do Piauí";1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221050 São Pedro do Piauí";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"221060 São Raimundo Nonato";-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7
"221100 Teresina";7;37;25;96;28;-;32;2;19;42;-;-;-;-;39;17;3;4;351
"221110 União";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230040 Aiuaba";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230070 Alto Santo";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230110 Aracati";6;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"230130 Araripe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;2
"230160 Assaré";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230190 Barbalha";-;4;-;18;-;-;7;-;-;10;-;-;10;-;7;5;-;-;61
"230210 Baturité";3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230250 Brejo Santo";-;4;-;10;-;-;-;-;-;-;-;-;-;-;5;-;-;-;19
"230330 Cariús";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"230370 Caucaia";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;7
"230390 Chaval";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;4
"230410 Crateús";-;2;2;10;-;-;-;-;-;-;-;-;-;-;6;-;-;-;20
"230420 Crato";-;-;15;20;-;-;-;-;-;10;-;-;-;-;6;-;-;-;51
"230440 Fortaleza";16;49;73;386;83;8;89;8;23;158;17;-;18;13;193;33;-;100;1267
"230530 Ibiapina";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230550 Iguatu";-;2;6;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;14
"230580 Ipu";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230600 Iracema";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230680 Jaguaribara";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230730 Juazeiro do Norte";-;2;6;50;-;-;-;-;-;10;-;-;-;-;14;-;-;-;82
"230750 Lavras da Mangabeira";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230765 Maracanaú";7;2;10;-;-;-;-;-;-;-;-;-;-;-;7;4;-;-;30
"230780 Marco";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230810 Mauriti";-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2
"230840 Missão Velha";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"230945 Ocara";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;2;5
"230960 Pacajus";1;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;4;6;13
"231020 Paracuru";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"231030 Parambu";-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2
"231060 Penaforte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"231126 Quiterianópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2
"231130 Quixadá";-;2;-;-;-;-;-;-;-;10;-;-;-;-;4;5;-;-;21
"231135 Quixelô";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"231140 Quixeramobim";-;2;-;30;-;-;-;-;-;10;-;-;-;-;16;4;-;-;62
"231180 Russas";7;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8
"231190 Saboeiro";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"231220 Santa Quitéria";-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3
"231290 Sobral";-;-;-;83;-;10;20;-;-;25;-;-;10;-;45;16;-;-;209
"231310 Tabuleiro do Norte";-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1
"231330 Tauá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;4;-;-;-;4
"231340 Tianguá";-;2;-;-;-;-;-;-;-;-;-;-;-;-;10;5;-;-;17
